State,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Oklahoma ,101.5,104.4,110.5,114.9,118.1,121.4,125.0,132.1,137.6,143.8,148.7,154.8,160.5,167.5,177.4,185.9,194.6,189.1,195.5,193.2
Oregon ,105.2,114.9,126.2,139.0,148.1,158.8,165.6,171.6,177.0,184.0,192.6,204.5,221.3,248.8,297.0,327.2,333.0,307.3,284.3,256.1
Pennsylvania ,100.9,102.4,104.2,104.8,105.0,106.1,107.7,111.1,115.3,121.4,129.4,141.5,153.5,172.4,190.3,199.0,201.9,194.5,194.0,189.2
Rhode Island ,96.1,95.7,91.9,91.8,92.1,90.4,92.4,96.9,106.1,119.6,138.0,165.3,192.7,220.6,234.5,235.1,221.3,197.6,195.4,190.4
South Carolina ,102.0,105.5,108.1,111.5,114.4,121.8,125.1,131.6,138.8,144.7,149.5,155.4,160.0,170.1,184.5,195.3,198.2,190.2,191.0,179.8
South Dakota ,102.7,112.2,120.7,128.6,131.8,137.4,141.9,146.1,154.1,160.4,169.8,175.4,184.5,194.2,209.4,216.8,224.1,223.7,226.2,220.9
Tennessee ,101.6,104.7,109.7,115.7,122.6,127.8,131.8,137.8,143.2,146.8,151.5,155.6,163.3,171.7,185.4,197.7,202.3,194.0,190.8,183.9
Texas ,100.1,103.7,107.5,110.1,112.7,114.9,118.3,125.4,133.9,142.9,148.5,153.5,156.9,162.6,172.2,183.7,190.9,189.5,191.4,188.0
Utah ,103.7,113.7,133.2,151.7,163.5,174.6,179.7,186.3,190.6,194.2,197.7,203.0,207.2,223.3,255.9,300.3,316.3,288.3,266.5,249.1
Vermont ,98.2,101.5,101.9,100.2,97.7,103.2,102.5,107.7,114.7,126.3,137.0,149.2,162.9,186.9,206.1,217.1,216.0,212.5,208.4,205.5
Virginia ,100.2,101.5,102.3,105.2,105.7,107.9,110.9,114.7,121.6,130.9,143.0,157.0,176.0,202.6,232.9,247.1,240.6,215.8,221.5,209.6
Washington ,103.0,107.5,113.5,118.7,119.7,122.6,129.9,139.5,147.5,154.4,161.7,171.7,183.6,207.4,242.4,270.1,278.3,255.1,241.9,224.7
West Virginia ,102.5,106.3,112.6,120.7,124.7,125.3,128.6,132.8,136.1,137.0,141.2,148.7,154.2,169.6,178.0,185.2,192.3,191.3,188.0,188.0
Wisconsin ,103.6,111.6,120.7,127.9,133.1,137.3,142.0,149.1,157.3,166.4,176.5,186.8,199.1,213.4,223.4,227.2,225.3,218.4,214.5,209.4
Wyoming ,106.2,113.6,123.6,134.1,144.0,146.7,150.8,155.4,160.8,170.0,180.2,194.1,208.2,228.7,258.3,292.2,302.3,305.6,288.9,280.1
